Variable,All,Discharged,Death,Censored
<b>Totals</b>,154,148,5,1
<b><i>TRAVEL HISTORY</i></b>,,,,
<b>Did the patient travel outside of their home region in the past 14 days?</b> (*),  5 ( 4.4) | 113,  5 ( 4.6) | 109,0 ( 0.0) | 4,N/A
<b><i>MEDICATION PREVIOUS 7-DAYS</i></b>,,,,
<b>Steroid</b> (*),  7 ( 5.2) | 134,  7 ( 5.4) | 129,0 ( 0.0) | 4,0 ( 0.0) | 1
<b>Steroid administration route</b> (*),,,,
   ↳ Oral,  5 (71.4) |   7,  5 (71.4) |   7,N/A,N/A
   ↳ Inhaled,  1 (14.3) |   7,  1 (14.3) |   7,N/A,N/A
   ↳ IV,  1 (14.3) |   7,  1 (14.3) |   7,N/A,N/A
<b>Immunosuppressant agents (not steroids)</b> (*),  2 ( 1.4) | 141,  2 ( 1.5) | 135,0 ( 0.0) | 5,0 ( 0.0) | 1
<b>Antibiotics</b> (*), 13 ( 9.3) | 140, 11 ( 8.2) | 134,2 (40.0) | 5,0 ( 0.0) | 1
<b>NSAIDs</b> (*),  4 ( 2.9) | 137,  4 ( 3.0) | 132,0 ( 0.0) | 5,N/A
<b>Anticoagulant</b> (*),  5 ( 3.5) | 142,  5 ( 3.7) | 136,0 ( 0.0) | 5,0 ( 0.0) | 1
<b>Intravenous fluid</b> (*), 25 (19.2) | 130, 24 (19.4) | 124,1 (20.0) | 5,0 ( 0.0) | 1
<b>Intravenous fluid type</b> (*),,,,
   ↳ Crystalloid, 19 (95.0) |  20, 18 (94.7) |  19,1 (100.) | 1,N/A
   ↳ Other fluid,  1 ( 5.0) |  20,  1 ( 5.3) |  19,0 ( 0.0) | 1,N/A
<b>Total intravenous fluid volume in the previous 24 hours (mL)</b> (+),1500.0 (1000.0-2000.0) |  17,1250.0 ( 875.0-2000.0) |  16,N/A,N/A
<b>Indication/reason</b>,,,,
   ↳ Shock,  1 ( 0.8) | 130,  0 ( 0.0) | 124,1 (20.0) | 5,0 ( 0.0) | 1
   ↳ Other, 10 ( 7.7) | 130, 10 ( 8.1) | 124,0 ( 0.0) | 5,0 ( 0.0) | 1
   ↳ Unknown, 14 (10.8) | 130, 14 (11.3) | 124,0 ( 0.0) | 5,0 ( 0.0) | 1
<b>Additional intravenous fluid</b> (*),  3 ( 2.3) | 132,  3 ( 2.4) | 127,0 ( 0.0) | 4,0 ( 0.0) | 1
<b>Intravenous fluid type</b> (*),,,,
   ↳ Crystalloid,  1 (50.0) |   2,  1 (50.0) |   2,N/A,N/A
   ↳ Other fluid,  1 (50.0) |   2,  1 (50.0) |   2,N/A,N/A
<b>Total intravenous fluid volume in the previous 24 hours (mL)</b> (+),N/A,N/A,N/A,N/A
<b><i>SIGNS AND SYMPTOMS ON ADMISSION</i></b>,,,,
<b>Fever / chills / rigors</b> (*),133 (89.3) | 149,129 (90.2) | 143,3 (60.0) | 5,1 (100.) | 1
<b>Cough</b> (*),,,,
"   ↳ Yes, non-productive", 14 ( 9.5) | 147, 14 ( 9.9) | 141,0 ( 0.0) | 5,0 ( 0.0) | 1
"   ↳ Yes, productive",  3 ( 2.0) | 147,  3 ( 2.1) | 141,0 ( 0.0) | 5,0 ( 0.0) | 1
"   ↳ Yes, with haemoptysis",  4 ( 2.7) | 147,  4 ( 2.8) | 141,0 ( 0.0) | 5,0 ( 0.0) | 1
   ↳ No,126 (85.7) | 147,120 (85.1) | 141,5 (100.) | 5,1 (100.) | 1
<b>Shortness of breath </b> (*), 18 (12.2) | 148, 16 (11.3) | 142,2 (40.0) | 5,0 ( 0.0) | 1
<b>Headache</b> (*), 96 (63.6) | 151, 95 (65.5) | 145,0 ( 0.0) | 5,1 (100.) | 1
<b>Retro-orbital pain</b> (*), 43 (28.9) | 149, 43 (30.1) | 143,0 ( 0.0) | 5,0 ( 0.0) | 1
<b>Seizures / Convulsions</b> (*),  4 ( 2.7) | 150,  3 ( 2.1) | 144,1 (20.0) | 5,0 ( 0.0) | 1
<b>Restlessness</b> (*),  9 ( 6.1) | 148,  9 ( 6.3) | 142,0 ( 0.0) | 5,0 ( 0.0) | 1
<b>Fatigue / Malaise / Lethargy</b> (*), 97 (64.2) | 151, 93 (64.1) | 145,3 (60.0) | 5,1 (100.) | 1
<b>Muscle aches / Myalgia</b> (*),122 (80.8) | 151,118 (81.4) | 145,3 (60.0) | 5,1 (100.) | 1
<b>Joint pain / Arthralgia</b> (*), 35 (23.2) | 151, 35 (24.1) | 145,0 ( 0.0) | 5,0 ( 0.0) | 1
<b>Abdominal pain</b> (*), 60 (40.0) | 150, 57 (39.6) | 144,3 (60.0) | 5,0 ( 0.0) | 1
<b>Diarrhoea</b> (*), 28 (18.7) | 150, 28 (19.4) | 144,0 ( 0.0) | 5,0 ( 0.0) | 1
<b>Vomiting</b> (*), 71 (46.4) | 153, 66 (44.9) | 147,4 (80.0) | 5,1 (100.) | 1
"<b>If yes, persistent vomiting? (2+/day)</b> (*)", 35 (57.4) |  61, 33 (57.9) |  57,1 (33.3) | 3,1 (100.) | 1
<b>Anorexia</b> (*), 52 (34.9) | 149, 50 (35.0) | 143,2 (40.0) | 5,0 ( 0.0) | 1
<b>Skin rash</b> (*), 35 (23.0) | 152, 34 (23.3) | 146,0 ( 0.0) | 5,1 (100.) | 1
<b>Bleeding / Haemorrhage</b> (*), 66 (43.1) | 153, 65 (44.2) | 147,0 ( 0.0) | 5,1 (100.) | 1
<b>Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin,  1 ( 0.7) | 153,  1 ( 0.7) | 147,0 ( 0.0) | 5,0 ( 0.0) | 1
   ↳ Petechiae, 21 (13.7) | 153, 20 (13.6) | 147,0 ( 0.0) | 5,1 (100.) | 1
   ↳ Nose, 17 (11.1) | 153, 17 (11.6) | 147,0 ( 0.0) | 5,0 ( 0.0) | 1
   ↳ Gums, 13 ( 8.5) | 153, 13 ( 8.8) | 147,0 ( 0.0) | 5,0 ( 0.0) | 1
   ↳ GI tract, 12 ( 7.8) | 153, 12 ( 8.2) | 147,0 ( 0.0) | 5,0 ( 0.0) | 1
   ↳ Urinary tract,  5 ( 3.3) | 153,  5 ( 3.4) | 147,0 ( 0.0) | 5,0 ( 0.0) | 1
   ↳ Vagina, 12 ( 7.8) | 153, 12 ( 8.2) | 147,0 ( 0.0) | 5,0 ( 0.0) | 1
   ↳ Other(s),  4 ( 2.6) | 153,  4 ( 2.7) | 147,0 ( 0.0) | 5,0 ( 0.0) | 1
<b>Other sign(s) or abnormality</b> (*), 37 (24.0) | 154, 34 (23.0) | 148,2 (40.0) | 5,1 (100.) | 1
<b>Bleeding / haemorrhage</b> (*),,,,
"   ↳ Yes, severe (requires intervention)",  1 ( 0.7) | 153,  1 ( 0.7) | 148,0 ( 0.0) | 4,0 ( 0.0) | 1
"   ↳ Yes, non-severe", 55 (35.9) | 153, 53 (35.8) | 148,1 (25.0) | 4,1 (100.) | 1
   ↳ No, 97 (63.4) | 153, 94 (63.5) | 148,3 (75.0) | 4,0 ( 0.0) | 1
<b>Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin,  3 ( 2.0) | 153,  3 ( 2.0) | 148,0 ( 0.0) | 4,0 ( 0.0) | 1
   ↳ Petechiae, 14 ( 9.2) | 153, 13 ( 8.8) | 148,0 ( 0.0) | 4,1 (100.) | 1
   ↳ Nose, 12 ( 7.8) | 153, 12 ( 8.1) | 148,0 ( 0.0) | 4,0 ( 0.0) | 1
   ↳ Gums, 13 ( 8.5) | 153, 13 ( 8.8) | 148,0 ( 0.0) | 4,0 ( 0.0) | 1
   ↳ GI tract, 12 ( 7.8) | 153, 12 ( 8.1) | 148,0 ( 0.0) | 4,0 ( 0.0) | 1
   ↳ Urinary tract,  6 ( 3.9) | 153,  5 ( 3.4) | 148,1 (25.0) | 4,0 ( 0.0) | 1
   ↳ Vagina,  8 ( 5.2) | 153,  8 ( 5.4) | 148,0 ( 0.0) | 4,0 ( 0.0) | 1
   ↳ Other(s),  4 ( 2.6) | 153,  4 ( 2.7) | 148,0 ( 0.0) | 4,0 ( 0.0) | 1
   ↳ Unknown,  1 ( 0.7) | 153,  1 ( 0.7) | 148,0 ( 0.0) | 4,0 ( 0.0) | 1
