index,label,count
"('sympt_haemorrhag_yn___Yes, non-severe',)","('<b>Bleeding / haemorrhage</b>, Yes, non-severe',)",15
"('sympt_haemorrhag_yn___Yes, non-severe', 'sympt_haemorrhag_site___GI tract')","('<b>Bleeding / haemorrhage</b>, Yes, non-severe', '<b>Specify bleeding / haemorrhage site(s)</b>, GI tract')",9
"('sympt_haemorrhag_yn___Yes, non-severe', 'sympt_haemorrhag_site___Petechiae')","('<b>Bleeding / haemorrhage</b>, Yes, non-severe', '<b>Specify bleeding / haemorrhage site(s)</b>, Petechiae')",8
"('sympt_haemorrhag_yn___Yes, non-severe', 'sympt_haemorrhag_site___Gums')","('<b>Bleeding / haemorrhage</b>, Yes, non-severe', '<b>Specify bleeding / haemorrhage site(s)</b>, Gums')",8
"('sympt_haemorrhag_yn___Yes, non-severe', 'sympt_haemorrhag_site___Nose')","('<b>Bleeding / haemorrhage</b>, Yes, non-severe', '<b>Specify bleeding / haemorrhage site(s)</b>, Nose')",7
"('sympt_haemorrhag_yn___Yes, non-severe', 'sympt_haemorrhag_site___Petechiae', 'sympt_haemorrhag_site___Gums')","('<b>Bleeding / haemorrhage</b>, Yes, non-severe', '<b>Specify bleeding / haemorrhage site(s)</b>, Petechiae', '<b>Specify bleeding / haemorrhage site(s)</b>, Gums')",2
"('sympt_haemorrhag_yn___Yes, non-severe', 'sympt_haemorrhag_site___Petechiae', 'sympt_haemorrhag_site___Nose')","('<b>Bleeding / haemorrhage</b>, Yes, non-severe', '<b>Specify bleeding / haemorrhage site(s)</b>, Petechiae', '<b>Specify bleeding / haemorrhage site(s)</b>, Nose')",2
"('sympt_haemorrhag_yn___Yes, non-severe', 'sympt_haemorrhag_site___Gums', 'sympt_haemorrhag_site___Nose')","('<b>Bleeding / haemorrhage</b>, Yes, non-severe', '<b>Specify bleeding / haemorrhage site(s)</b>, Gums', '<b>Specify bleeding / haemorrhage site(s)</b>, Nose')",2
"('sympt_haemorrhag_yn___Yes, non-severe', 'sympt_haemorrhag_site___Petechiae', 'sympt_haemorrhag_site___Nose', 'sympt_haemorrhag_site___GI tract')","('<b>Bleeding / haemorrhage</b>, Yes, non-severe', '<b>Specify bleeding / haemorrhage site(s)</b>, Petechiae', '<b>Specify bleeding / haemorrhage site(s)</b>, Nose', '<b>Specify bleeding / haemorrhage site(s)</b>, GI tract')",1
"('sympt_haemorrhag_yn___Yes, non-severe', 'sympt_haemorrhag_site___Gums', 'sympt_haemorrhag_site___GI tract')","('<b>Bleeding / haemorrhage</b>, Yes, non-severe', '<b>Specify bleeding / haemorrhage site(s)</b>, Gums', '<b>Specify bleeding / haemorrhage site(s)</b>, GI tract')",1
"('sympt_haemorrhag_site___Petechiae', 'sympt_haemorrhag_site___GI tract')","('<b>Specify bleeding / haemorrhage site(s)</b>, Petechiae', '<b>Specify bleeding / haemorrhage site(s)</b>, GI tract')",1
