index,label,count
"('inter_ivfluid_occur', 'inter_ivfluid_type___Crystalloid', 'inter_ivfluid_reas___Anorexia')","('<b>Parenteral / IV fluid? </b>', '<b>Select all Parenteral / IV fluid that were administered</b>, Crystalloid', '<b>Reason(s) for IV fluid (check all that apply)</b>, Anorexia')",39
"('inter_ivfluid_occur', 'inter_ivfluid_type___Crystalloid', 'inter_ivfluid_reas___High/rising haematocrit')","('<b>Parenteral / IV fluid? </b>', '<b>Select all Parenteral / IV fluid that were administered</b>, Crystalloid', '<b>Reason(s) for IV fluid (check all that apply)</b>, High/rising haematocrit')",37
"('inter_ivfluid_occur', 'inter_ivfluid_type___Crystalloid')","('<b>Parenteral / IV fluid? </b>', '<b>Select all Parenteral / IV fluid that were administered</b>, Crystalloid')",35
"('inter_ivfluid_occur', 'inter_ivfluid_type___Crystalloid', 'inter_icu')","('<b>Parenteral / IV fluid? </b>', '<b>Select all Parenteral / IV fluid that were administered</b>, Crystalloid', '<b>ICU / ITU / High Dependency Unit / Intermediate Care Unit admission</b>')",13
"('inter_ivfluid_occur', 'inter_ivfluid_type___Crystalloid', 'inter_ivfluid_reas___Anorexia', 'inter_ivfluid_reas___High/rising haematocrit')","('<b>Parenteral / IV fluid? </b>', '<b>Select all Parenteral / IV fluid that were administered</b>, Crystalloid', '<b>Reason(s) for IV fluid (check all that apply)</b>, Anorexia', '<b>Reason(s) for IV fluid (check all that apply)</b>, High/rising haematocrit')",8
"('inter_ivfluid_occur', 'inter_ivfluid_type___Crystalloid', 'inter_ivfluid_reas___Anorexia', 'inter_icu')","('<b>Parenteral / IV fluid? </b>', '<b>Select all Parenteral / IV fluid that were administered</b>, Crystalloid', '<b>Reason(s) for IV fluid (check all that apply)</b>, Anorexia', '<b>ICU / ITU / High Dependency Unit / Intermediate Care Unit admission</b>')",8
"('inter_ivfluid_occur', 'inter_ivfluid_type___Crystalloid', 'inter_ivfluid_reas___High/rising haematocrit', 'inter_icu')","('<b>Parenteral / IV fluid? </b>', '<b>Select all Parenteral / IV fluid that were administered</b>, Crystalloid', '<b>Reason(s) for IV fluid (check all that apply)</b>, High/rising haematocrit', '<b>ICU / ITU / High Dependency Unit / Intermediate Care Unit admission</b>')",5
"('inter_ivfluid_occur', 'inter_icu')","('<b>Parenteral / IV fluid? </b>', '<b>ICU / ITU / High Dependency Unit / Intermediate Care Unit admission</b>')",2
"('inter_ivfluid_occur', 'inter_ivfluid_type___Crystalloid', 'inter_ivfluid_reas___Anorexia', 'inter_ivfluid_reas___High/rising haematocrit', 'inter_icu')","('<b>Parenteral / IV fluid? </b>', '<b>Select all Parenteral / IV fluid that were administered</b>, Crystalloid', '<b>Reason(s) for IV fluid (check all that apply)</b>, Anorexia', '<b>Reason(s) for IV fluid (check all that apply)</b>, High/rising haematocrit', '<b>ICU / ITU / High Dependency Unit / Intermediate Care Unit admission</b>')",2
"('inter_icu',)","('<b>ICU / ITU / High Dependency Unit / Intermediate Care Unit admission</b>',)",1
